OPEN_DATE,MID,MERCHAN_DBA_NAME,MSO,SOURCE_CODE,POS1,WILAYAH,CHANNEL,TYPE_MID
8/14/2018,201031572,MID INSTANT WMD 074      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031580,MID INSTANT WMD 075      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031598,MID INSTANT WMD 076      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031606,MID INSTANT WMD 077      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031614,MID INSTANT WMD 078      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031622,MID INSTANT WMD 079      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031630,MID INSTANT WMD 080      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031648,MID INSTANT WMD 081      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031655,MID INSTANT WMD 082      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031663,MID INSTANT WMD 083      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031671,MID INSTANT WMD 084      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031689,MID INSTANT WMD 085      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031697,MID INSTANT WMD 086      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031705,MID INSTANT WMD 087      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031713,MID INSTANT WMD 088      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031721,MID INSTANT WMD 089      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031739,MID INSTANT WMD 090      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031747,MID INSTANT WMD 091      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031754,MID INSTANT WMD 092      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031762,MID INSTANT WMD 093      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031770,MID INSTANT WMD 094      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031788,MID INSTANT WMD 095      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031796,MID INSTANT WMD 096      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031804,MID INSTANT WMD 097      ,   ,                  ,1,WMD,PPP,EDC
8/14/2018,201031812,MID INSTANT WMD 098      ,   ,                  ,1,WMD,PPU,EDC
8/14/2018,201031820,MID INSTANT WMD 099      ,   ,                  ,1,WMD,PPU,EDC
8/14/2018,201031838,MID INSTANT WMD 100      ,   ,                  ,1,WMD,PPU,EDC
4/4/2017,201076122,EXH P3 INDOSAT MOTO M MBL,   ,                  ,1,WMD,PPU,EDC
4/4/2017,201076155,PATRA COMFORT PARAPAT HOT,   ,                  ,1,WMD,PPU,EDC
4/4/2017,201076163,KEDAI KOPI SEDAP         ,   ,                  ,1,WMD,PPU,EDC
4/4/2017,201076189,TIMBO CAFE               ,   ,B1X2MA298402237DSM,1,WMD,PPU,EDC
4/4/2017,201076197,INDOGROSIR MEDAN MBL     ,   ,B1Y3RQ003099001MR2,1,WMD,PPU,EDC
5/12/2017,201080207,IDM T1U7                 ,   ,K1Y1RQ020289001MR2,1,WMD,PPU,EDC
5/12/2017,201080215,IDM TRIF                 ,   ,K1Y1RQ020289001MR2,1,WMD,PPU,EDC
