ID,MID,WILAYAH,CHANNEL
,203162623,WPL,PPP
,203162631,WPL,PPP
,203162649,WPL,PPP
,203162656,WPL,PPP
,203162664,WPL,PPP
,203162672,WPL,PPP
,203162680,WPL,PPP
,203162698,WPL,PPP
,203162706,WPL,PPP
,203162714,WPL,PPP
,203162722,WPL,PPP
,203162730,WPL,PPP
,203162748,WPL,PPP
,203162755,WPL,PPP
,203162763,WPL,PPP
,203162771,WPL,PPP
,203162789,WPL,PPP
,203162797,WPL,PPP
,203162805,WPL,PPP
,203162813,WPL,PPP
,203162821,WPL,PPP
,203162839,WPL,PPP
,203162847,WPL,PPP
,203162854,WPL,PPP
,203162862,WPL,PPP
,203162870,WPL,PPP
,203162888,WPL,PPP
,203162896,WPL,PPP
,203162904,WPL,PPP
,203162912,WPL,PPP
,203162920,WPL,PPP
,203162938,WPL,PPP
,203162946,WPL,PPP
,203162953,WPL,PPP
,203162961,WPL,PPP
,203162979,WPL,PPP
,203162987,WPL,PPP
,203162995,WPL,PPP
,203163001,WPL,PPP
,203163019,WPL,PPP
,203163027,WPL,PPP
,203163035,WPL,PPP
,203163043,WPL,PPP
,203163050,WPL,PPP
,203163068,WPL,PPP
,203163076,WPL,PPP
,203163084,WPL,PPP
,203163092,WPL,PPP
,203163100,WPL,PPP
,203163118,WPL,PPP
,203163126,WPL,PPP
,203163134,WPL,PPP
,203163142,WPL,PPP
,203163159,WPL,PPP
,203163167,WPL,PPP
,203163175,WPL,PPP
,203163183,WPL,PPP
,203163191,WPL,PPP
,203163209,WPL,PPP
,203163217,WPL,PPP
,203163225,WPL,PPP
,203163233,WPL,PPP
,203163241,WPL,PPP
,203163258,WPL,PPP
,203163266,WPL,PPP
,203163274,WPL,PPP
,203163282,WPL,PPP
,203163290,WPL,PPP
,203163308,WPL,PPP
,203163316,WPL,PPP
,203163324,WPL,PPP
,203163332,WPL,PPP
,203163340,WPL,PPP
,203163357,WPL,PPP
,203163365,WPL,PPP
,203163373,WPL,PPP
,203163381,WPL,PPP
