NO,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
4099,001028299,M J M                    ,08,140809,MEDAN        ,187,A1X2MA000000000000,001
4100,001028307,DAPUR BAMBU              ,08,250809,MEDAN        ,168,A1X2MA000000000000,001
4101,001028315,JIV MBL                  ,08,310809,MEDAN        ,146,B1X1MA000000000000,001
4102,001028323,TELESINDO MDN            ,08,080809,MEDAN        ,100,A1X1MA000000000000,001
4103,001028331,FAI & SYA OUTLET         ,08,190809,BANDA ACEH   ,167,A1X2MA000000000000,001
4104,001028349,EXH OLYMPUS E-P1 MBL     ,08,140809,MEDAN        ,100,B3X1MA000000000000,001
4105,001028356,HAKASIMA BANDA ACEH MBL  ,08,200809,BANDA ACEH   ,122,B1X1MA000000000000,001
4106,001028364,HAKASIMA R PRAPAT MBL    ,08,210809,RANTAU PRAPAT,122,B1X1MA000000000000,001
4107,001028380,HAKASIMA LHOKSEUMAWE MBL ,08,210809,BANDA ACEH   ,122,B1X1MA000000000000,001
4108,001028398,HAKASIMA MEDAN MBL       ,08,210809,MEDAN        ,122,B1X1MA000000000000,001
4109,001028406,TK PERABOT&GORDYN DUA EN ,08,280809,BINJAI       ,168,                  ,001
4110,001028414,TK MAS&BERLIAN D&Y LUBIS ,08,280809,MEDAN        ,168,A1X2MA000000000000,001
4111,001028422,TOKO MAS EVIN PULUNGAN   ,08,280809,MEDAN        ,168,A1X2MA000000000000,001
4112,001028430,CECEMEME                 ,08,270809,MEDAN        ,187,A1X2MA000000000000,001
4113,001028448,PT. HAPPY GO LUCKY T&T   ,08,280809,MEDAN        ,168,A1X1MA000000000000,001
4114,001028455,FINS BOUTIQUE            ,08,270809,MEDAN        ,187,A1X2MA000000000000,001
4115,001028463,CHANYA BOUTIQUE MBL      ,08,270809,MEDAN        ,187,B1X2MA000000000000,001
4116,001028471,GALANI MBL               ,01,280809,MEDAN        ,187,B1X2MA006898006AK1,001
4117,001028489,HARDWARE                 ,08,080909,MEDAN        ,146,A1X2MA000000000000,001
4118,001028497,SPBU 14.20311.17         ,08,140909,DELISERDANGG ,167,A1X2MA000000000000,006
