ID,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
87,017017435,MIDTRANS*HILLSBROOKE     ,02,160318,BANDUNG      ,Q06,D1Y2EQ060000060000,004
88,017017443,MIDTRANS*AVATARSTORE     ,02,220318,DENPASAR BAL ,Q06,D1Y1EQ060000060000,004
89,017017450,MIDTRANS*LABIRUTOUR      ,02,160318,YOGYAKARTA   ,Q06,D1Y1EQ060000060000,004
90,017017468,MIDTRANS*MASAKBARENG     ,01,160318,JAKARTA      ,Q06,D1Y1EQ060000060000,004
91,017017476,MIDTRANS*PUBLICCULTURE   ,01,160318,JAKARTA SELA ,Q06,D1Y2EQ060000060000,004
92,017017484,MIDTRANS*BORLINDO        ,01,160318,SULAWESI SELA,Q06,D1Y1EQ060000060000,004
93,017017492,MIDTRANS*NEOOLIVA        ,02,220318,JAKARTA      ,Q06,D1Y1EQ060000060000,004
94,017017500,MIDTRANS*NOTARISCERDIK   ,02,220318,DEPOK        ,Q06,D1Y2EQ060000060000,004
95,017017518,MIDTRANS*SHOPTARIAN      ,02,190318,BANDUNG      ,Q06,                  ,004
96,017017526,MIDTRANS*MALBEKASI       ,02,160318,BEKASI       ,Q06,                  ,004
97,017017534,MIDTRANS*URBAN STATE     ,01,160318,BOGOR        ,Q06,D1Y2EQ060000060000,004
98,017017542,MIDTRANS*EAGLE           ,01,220318,JAKARTA      ,Q06,D1Y1EQ060000060000,004
99,017017559,MIDTRANS*IMAJISTUDIO     ,02,240318,JAKARTA      ,Q06,                  ,004
100,017017567,MIDTRANS*MEDANWATCH      ,01,220318,MEDAN        ,Q06,D1Y2EQ060000060000,004
