RowID,BatchID,OPEN_DATE,MID,MERCHAN_DBA_NAME,MSO,SOURCE_CODE,POS1,WILAYAH,CHANNEL,TYPE_MID,IS_UPDATE
58,999,2018-08-14,201031481,"MID INSTANT WMD 065      ","   ","                  ",1,WMD,NULL,EDC,0
59,999,2018-08-14,201031499,"MID INSTANT WMD 066      ","   ","                  ",1,WMD,NULL,EDC,0
60,999,2018-08-14,201031507,"MID INSTANT WMD 067      ","   ","                  ",1,WMD,NULL,EDC,0
61,999,2018-08-14,201031515,"MID INSTANT WMD 068      ","   ","                  ",1,WMD,NULL,EDC,0
62,999,2018-08-14,201031523,"MID INSTANT WMD 069      ","   ","                  ",1,WMD,NULL,EDC,0
63,999,2018-08-14,201031531,"MID INSTANT WMD 070      ","   ","                  ",1,WMD,NULL,EDC,0
64,999,2018-08-14,201031549,"MID INSTANT WMD 071      ","   ","                  ",1,WMD,NULL,EDC,0
65,999,2018-08-14,201031556,"MID INSTANT WMD 072      ","   ","                  ",1,WMD,NULL,EDC,0
66,999,2018-08-14,201031564,"MID INSTANT WMD 073      ","   ","                  ",1,WMD,NULL,EDC,0
67,999,2018-08-14,201031572,"MID INSTANT WMD 074      ","   ","                  ",1,WMD,NULL,EDC,0
68,999,2018-08-14,201031580,"MID INSTANT WMD 075      ","   ","                  ",1,WMD,NULL,EDC,0
69,999,2018-08-14,201031598,"MID INSTANT WMD 076      ","   ","                  ",1,WMD,NULL,EDC,0
70,999,2018-08-14,201031606,"MID INSTANT WMD 077      ","   ","                  ",1,WMD,NULL,EDC,0
71,999,2018-08-14,201031614,"MID INSTANT WMD 078      ","   ","                  ",1,WMD,NULL,EDC,0
72,999,2018-08-14,201031622,"MID INSTANT WMD 079      ","   ","                  ",1,WMD,NULL,EDC,0
73,999,2018-08-14,201031630,"MID INSTANT WMD 080      ","   ","                  ",1,WMD,NULL,EDC,0
74,999,2018-08-14,201031648,"MID INSTANT WMD 081      ","   ","                  ",1,WMD,NULL,EDC,0
75,999,2018-08-14,201031655,"MID INSTANT WMD 082      ","   ","                  ",1,WMD,NULL,EDC,0
76,999,2018-08-14,201031663,"MID INSTANT WMD 083      ","   ","                  ",1,WMD,NULL,EDC,0
77,999,2018-08-14,201031671,"MID INSTANT WMD 084      ","   ","                  ",1,WMD,NULL,EDC,0
78,999,2018-08-14,201031689,"MID INSTANT WMD 085      ","   ","                  ",1,WMD,NULL,EDC,0
79,999,2018-08-14,201031697,"MID INSTANT WMD 086      ","   ","                  ",1,WMD,NULL,EDC,0
80,999,2018-08-14,201031705,"MID INSTANT WMD 087      ","   ","                  ",1,WMD,NULL,EDC,0
81,999,2018-08-14,201031713,"MID INSTANT WMD 088      ","   ","                  ",1,WMD,NULL,EDC,0
82,999,2018-08-14,201031721,"MID INSTANT WMD 089      ","   ","                  ",1,WMD,NULL,EDC,0
