OPEN DATE,MID,MERCHAN DBA NAME,MSO,SOURCE CODE,POS1,WILAYAH,CHANNEL,TYPE MID
2018-08-14,201031630,MID INSTANT WMD 080      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031648,MID INSTANT WMD 081      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031655,MID INSTANT WMD 082      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031663,MID INSTANT WMD 083      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031671,MID INSTANT WMD 084      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031689,MID INSTANT WMD 085      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031697,MID INSTANT WMD 086      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031705,MID INSTANT WMD 087      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031713,MID INSTANT WMD 088      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031721,MID INSTANT WMD 089      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031739,MID INSTANT WMD 090      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031747,MID INSTANT WMD 091      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031754,MID INSTANT WMD 092      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031762,MID INSTANT WMD 093      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031770,MID INSTANT WMD 094      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031788,MID INSTANT WMD 095      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031796,MID INSTANT WMD 096      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031804,MID INSTANT WMD 097      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031812,MID INSTANT WMD 098      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031820,MID INSTANT WMD 099      ,   ,                  ,1,WMD,BDP,EDC
2018-08-14,201031838,MID INSTANT WMD 100      ,   ,                  ,1,WMD,BDP,EDC
2018-08-08,203161138,GATE PELABUHAN BAKAUHEUNI,   ,I2X1NC000000000000,1,WPL,BDP,EDC
2018-08-07,203161146,MID INSTANT WPL 001      ,   ,                  ,1,WPL,BDP,EDC
2018-08-07,203161153,MID INSTANT WPL 002      ,   ,                  ,1,WPL,BDP,EDC
2018-08-07,203161161,MID INSTANT WPL 003      ,   ,                  ,1,WPL,BDP,EDC
2018-08-07,203161179,MID INSTANT WPL 004      ,   ,                  ,1,WPL,BDP,EDC
